Brand,Model,Type,Manufactured_year,Distance(km),Engine(cc),Price
Bajaj,Bajaj Discover 125 সুন্দর একটি গাড়ি 2016,Motorbikes,2016,18500,125,75500
Bajaj,Bajaj Pulsar 150 . 2013,Motorbikes,2013,35000,150,125000
Bajaj,Bajaj Pulsar 150 2019,Motorbikes,2019,15000,150,145000
Bajaj,Bajaj Discover 125 . 2008,Motorbikes,2008,50000,125,80000
Bajaj,Bajaj Pulsar dok all 💯🆗 2012,Motorbikes,2012,25412,150,67000
Bajaj,Bajaj Platina 100 2017,Motorbikes,2017,19000,100,76000
Bajaj,Bajaj Pulsar 150 . 2023,Motorbikes,2023,18000,150,170000
Bajaj,Bajaj Platina . 2021,Motorbikes,2021,33000,100,86000
Bajaj,Bajaj Discover 125 2020,Motorbikes,2020,20000,125,115000
Bajaj,Bajaj Discover 125 Discover125CBSbrak 2023,Motorbikes,2023,2700,125,132500
Bajaj,Bajaj Discover 125 Discover125new 2023,Motorbikes,2023,2400,125,133500
Bajaj,Bajaj Pulsar 150 . 2022,Motorbikes,2022,4553,150,165000
Bajaj,Bajaj Pulsar SD BIKE 2018,Motorbikes,2018,12000,150,135000
Bajaj,Bajaj Discover . 2023,Motorbikes,2023,3762,110,120000
Bajaj,Bajaj Pulsar 150 . 2021,Motorbikes,2021,15000,150,135000
Bajaj,Bajaj Avenger 160 . 2022,Motorbikes,2022,1000,160,245000
Bajaj,Bajaj Pulsar Single disc 150cc 2019,Motorbikes,2019,17050,150,136000
Bajaj,Bajaj Platina . 2015,Motorbikes,2015,45000,100,24500
Bajaj,Bajaj Pulsar NS 160 White 2018,Motorbikes,2018,27600,160,125000
Bajaj,Bajaj CT 100 . 2012,Motorbikes,2012,60,100,45000
Bajaj,Bajaj Pulsar 150 2023,Motorbikes,2023,30000,150,70000
Bajaj,Bajaj Pulsar 150 . 2012,Motorbikes,2012,30000,150,85000
Bajaj,Bajaj Discover 125 . 2017,Motorbikes,2017,20000,125,99000
Bajaj,Bajaj Pulsar 150 Dual Disc 2022,Motorbikes,2022,7010,150,175000
Bajaj,Bajaj Discover 150 Disc break 2014,Motorbikes,2014,30000,150,90000
Bajaj,Bajaj Pulsar 150 Single Disc 2017,Motorbikes,2017,18970,150,118000
Bajaj,Bajaj Discover 135 . 2011,Motorbikes,2011,68000,135,105000
Bajaj,Bajaj Pulsar 150 . 2022,Motorbikes,2022,4500,150,185000
Bajaj,Bajaj Pulsar 150 . 2012,Motorbikes,2012,30000,150,85000
Bajaj,Bajaj Pulsar 150 . 2015,Motorbikes,2015,50000,150,120000
Bajaj,Bajaj Platina . 2013,Motorbikes,2013,38000,125,52000
Bajaj,Bajaj Pulsar NS Red 2023,Motorbikes,2023,5100,160,175000
Bajaj,Bajaj Discover 125 . 2012,Motorbikes,2012,30000,125,80000
Bajaj,Bajaj Pulsar 150 2016,Motorbikes,2016,50000,150,84000
Bajaj,Bajaj Pulsar 150 . 2017,Motorbikes,2017,47000,150,105000
Bajaj,Bajaj Discover 135 2023,Motorbikes,2023,10000,135,111714
Bajaj,Bajaj Pulsar DD 2022,Motorbikes,2022,12000,150,134500
Bajaj,Bajaj Pulsar গাড়ি ভালো 2011,Motorbikes,2011,21452,150,62000
Bajaj,Bajaj Pulsar good candetin 2012,Motorbikes,2012,25874,150,67000
Bajaj,Bajaj Pulsar 150  2019,Motorbikes,2019,26000,150,130000
Bajaj,Bajaj Pulsar NS 160cc 2018,Motorbikes,2018,28000,160,115000
Bajaj,Bajaj Pulsar 150 2020,Motorbikes,2020,15000,150,134500
Bajaj,Bajaj Pulsar 150 10 years 2017,Motorbikes,10,19000,150,102000
Bajaj,Bajaj Pulsar 150 2021,Motorbikes,2021,14445,150,155000
Bajaj,Bajaj Pulsar 150 . 2018,Motorbikes,2018,400000,150,115000
Bajaj,Bajaj CT 100 . 2021,Motorbikes,2021,33000,110,115500
Bajaj,Bajaj V15 . 2018,Motorbikes,2018,39000,150,100000
Bajaj,Bajaj Pulsar 150 2021,Motorbikes,2021,18000,150,148000
Bajaj,Bajaj Platina . 2012,Motorbikes,2012,35000,100,46000
Bajaj,Bajaj Platina fresh running bike 2015,Motorbikes,2015,100,100,42000
Bajaj,Bajaj Platina  2016,Motorbikes,2016,35000,100,52000
Bajaj,Bajaj Pulsar 150 2020,Motorbikes,2020,42000,150,125000
Bajaj,Bajaj Discover 100 মোটামুটি কন্ডিশন 2014,Motorbikes,2014,38000,100,70000
Bajaj,Bajaj Pulsar 150 fresh 2012,Motorbikes,2012,20000,150,87000
Bajaj,Bajaj Discover Cbs 2022,Motorbikes,2022,11000,110,110000
Bajaj,Bajaj Discover 125 . 2022,Motorbikes,2022,6000,125,132000
Bajaj,Bajaj Discover 125 . 2019,Motorbikes,2019,16000,125,105000
Bajaj,Bajaj Pulsar 135 BLACK 2012,Motorbikes,2012,55000,135,55000
Bajaj,Bajaj Pulsar AS 2016,Motorbikes,2016,420000,150,110000
Bajaj,Bajaj Discover 150 . 2017,Motorbikes,2017,40000,150,95000
Bajaj,Bajaj Pulsar 150 . 2017,Motorbikes,2017,28360,150,82500
Bajaj,Bajaj Discover 2017,Motorbikes,2017,30000,150,85000
Bajaj,Bajaj Discover 100 . 2017,Motorbikes,2017,45000,100,85000
Bajaj,Bajaj Discover 125 . 2020,Motorbikes,2020,17000,125,119000
Bajaj,Bajaj Discover 125  2021,Motorbikes,2021,14000,125,125000
Bajaj,Bajaj Discover 100 . 2007,Motorbikes,2007,77736,100,90000
Bajaj,Bajaj Pulsar NS ABS 2022,Motorbikes,2022,24000,160,175000
Bajaj,Bajaj Pulsar 150 2021,Motorbikes,2021,8000,150,146500
Bajaj,Bajaj Pulsar 150 2022,Motorbikes,2022,5000,150,178500
Bajaj,Bajaj Pulsar 2018,Motorbikes,2018,33000,150,113500
Bajaj,Bajaj Pulsar 150 Td 2022,Motorbikes,2022,12500,150,166500
Bajaj,Bajaj Pulsar 150 . 2009,Motorbikes,2009,300000,150,40000
Bajaj,Bajaj Discover 125 FRESH BIKE 2021,Motorbikes,2021,12000,125,110000
Bajaj,Bajaj Pulsar 150 FRESH BIKE 2021,Motorbikes,2021,16000,150,140000
Bajaj,Bajaj Pulsar NS 2023,Motorbikes,2023,18975,160,135000
Bajaj,Bajaj Avenger 160 Street DualABS 2021,Motorbikes,2021,6532,160,220000
Bajaj,Bajaj Platina H-Gear CBS 2022,Motorbikes,2022,5638,110,107000
Bajaj,Bajaj Discover 125 DISK&CBS ON-TEST 2021,Motorbikes,2021,7214,125,112400
Bajaj,Bajaj Discover 2020,Motorbikes,2020,31000,110,96000
Bajaj,Bajaj Pulsar 150 . 2009,Motorbikes,2009,80000,150,70000
Bajaj,Bajaj Pulsar 150 . 2012,Motorbikes,2012,90000,150,85000
Bajaj,Bajaj Pulsar 150 Super Fresh S/D 2019,Motorbikes,2019,13951,150,122000
Bajaj,Bajaj Pulsar NS FRESH CONDITION 2021,Motorbikes,2021,9000,160,157000
Bajaj,Bajaj Discover 100 . 2011,Motorbikes,2011,50000,100,67800
Bajaj,Bajaj Pulsar 100 . 2005,Motorbikes,2005,20000,100,30000
Bajaj,Bajaj Pulsar 150 . 2020,Motorbikes,2020,28000,150,160000
Bajaj,Bajaj Pulsar 135 . 2012,Motorbikes,2012,47512,135,63000
Bajaj,Bajaj Discover 100 . 2010,Motorbikes,2010,2999,100,68500
Bajaj,Bajaj Discover 100 2012,Motorbikes,2012,30000,100,75000
Bajaj,Bajaj Platina . 2014,Motorbikes,2014,250000,125,40000
Bajaj,Bajaj Platina 125cc 2013,Motorbikes,2013,125000,125,35000
Bajaj,Bajaj Discover 125 . 2019,Motorbikes,2019,33000,125,130000
Bajaj,Bajaj Platina . 2017,Motorbikes,2017,40000,100,39000
Bajaj,Bajaj Discover 2015,Motorbikes,2015,40000,150,80000
Bajaj,Bajaj Discover 125 . 2022,Motorbikes,2022,19000,125,135000
Bajaj,Bajaj Pulsar 150 . 2020,Motorbikes,2020,22000,150,160000
Bajaj,Bajaj Pulsar 150 SD 2022,Motorbikes,2022,14000,150,159000
Bajaj,Bajaj Pulsar 150 2020,Motorbikes,2020,15000,150,134500
Bajaj,Bajaj Pulsar 150 sd 2012,Motorbikes,2012,70000,150,63000
Bajaj,Bajaj Pulsar 150 UG4.5 (24 Serial) 2013,Motorbikes,2013,23580,150,95000
Bajaj,Bajaj Platina . 2022,Motorbikes,2022,5363,100,80000
